minTp,maxTp,wlevel,wind,weather,date
-3.9,5.6,mq,6.4,rain,2024/3/1
0.6,9.1,6.2,3.6,rain,2024/3/2
-1.4,10.9,2.9,3.9,rain,2024/3/3
2.1,10.1,1.4,5.4,rain,2024/3/4
0.6,14.4,-0.1,3.3,rain,2024/3/5
4.6,11.8,0.6,1.9,rain,2024/3/6
4.1,10.6,3.5,8.6,rain,2024/3/7
1.9,14.1,mq,5.1,rain,2024/3/8
4.1,14.9,0.1,4.1,rain,2024/3/9
10.9,17.4,4.9,6.6,rain,2024/3/10
9.9,17.3,4.2,4.8,rain,2024/3/11
8.6,12.9,1,10.4,rain,2024/3/12
7.9,11.4,6,5,rain,2024/3/13
1.3,13.6,-0.1,5.4,rain,2024/3/14
8.4,12.4,9.9,7.1,rain,2024/3/15
5.8,12.6,2.2,2.6,rain,2024/3/16
0.6,7.9,24.6,5,rain,2024/3/17
-1.8,-0.1,-0.5,4.2,rain,2024/3/18
-1.4,2.4,mq,4.4,rain,2024/3/19
-1.6,5.4,0.6,5.2,sun,2024/3/20
-0.6,7.6,0,4.8,sun,2024/3/21
-0.9,6.1,0.9,5.5,sun,2024/3/22
4.4,7.9,0.4,5.8,rain,2024/3/23
1.4,15.1,mq,3.1,rain,2024/3/24
2.1,14.9,mq,3.2,rain,2024/3/25
6.1,12.1,-0.3,3.2,sun,2024/3/26
6.4,10.9,3.7,8,rain,2024/3/27
5.1,13.3,9.6,7,rain,2024/3/28
2.1,11.4,mq,4.8,rain,2024/3/29
2.4,11.4,-0.3,5,rain,2024/3/30
0.9,12.6,0.8,7.2,rain,2024/3/31
4.4,10.3,-0.2,2.6,rain,2024/4/1
3.9,16.1,-0.2,3.6,rain,2024/4/2
9.1,16.8,2.8,7,rain,2024/4/3
9.9,13.9,4.8,11.6,rain,2024/4/4
3.3,10.9,0.2,2.8,sun,2024/4/5
0.9,20.9,mq,4.1,rain,2024/4/6
6.6,22.9,mq,6.3,rain,2024/4/7
8.8,22.6,0.2,0,rain,2024/4/8
10.9,12.6,2.3,2.9,rain,2024/4/9
8.6,15.3,0.2,5.3,rain,2024/4/10
4.9,19.6,mq,4.7,rain,2024/4/11
6.9,14.1,0.5,3.3,rain,2024/4/12
5.4,18.1,mq,2.7,rain,2024/4/13
6.4,16.6,0.8,1.7,sun,2024/4/14
7.1,18.6,0.2,2.9,rain,2024/4/15
8.9,17.4,0,2.8,sun,2024/4/16
2.4,22.4,0,1.9,sun,2024/4/17
6.6,26.6,0.2,4.7,sun,2024/4/18
8.9,28.1,0,2.2,sun,2024/4/19
9.6,28.3,0,2.2,sun,2024/4/20
10.6,27.4,0.2,1.9,sun,2024/4/21
12.6,25.1,mq,5,rain,2024/4/22
10.6,19.9,0.8,4.9,sun,2024/4/23
9.1,21.3,0.2,3.1,cloudy,2024/4/24
9.9,17.3,2.2,5.3,sun,2024/4/25
6.9,14.6,0,2.7,sun,2024/4/26
5.1,19.9,0.2,9,rain,2024/4/27
8.4,13.9,1.4,3.4,rain,2024/4/28
8.8,16.4,9.5,6.8,rain,2024/4/29
5.9,11.1,-0.1,10.8,rain,2024/4/30
2.9,12.4,mq,2.1,rain,2024/5/1
1.4,17.6,3.7,3.7,rain,2024/5/2
7.6,16.9,0,6,sun,2024/5/3
5.9,20.9,0,7.5,sun,2024/5/4
8.3,24.9,0,5.1,sun,2024/5/5
10.9,26.9,0,5.5,sun,2024/5/6
9.1,26.4,mq,4.3,rain,2024/5/7
11.6,26.3,mq,3.7,rain,2024/5/8
12.1,23.6,mq,6,rain,2024/5/9
6.9,16.3,-0.2,4.5,sun,2024/5/10
3.9,22.6,0.2,2.1,cloudy,2024/5/11
8.9,23.9,1.5,8.1,rain,2024/5/12
9.1,11.3,18.6,7.6,rain,2024/5/13
9.1,12.9,23,5.6,rain,2024/5/14
11.6,17.9,0.4,5.1,cloudy,2024/5/15
12.1,20.6,5.9,4.3,sun,2024/5/16
9.9,19.4,-0.1,5.2,sun,2024/5/17
6.6,18.6,0.2,4.8,sun,2024/5/18
6.1,19.9,0,4.9,sun,2024/5/19
6.6,22.6,0.2,4.7,sun,2024/5/20
9.3,24.6,0.2,1.7,rain,2024/5/21
14.6,22.6,4.8,3.5,rain,2024/5/22
12.9,22.1,4.8,2.9,sun,2024/5/23
10.4,24.3,0.2,1.1,sun,2024/5/24
11.6,26.4,0.2,4.2,cloudy,2024/5/25
14.9,27.4,-0.1,3.8,sun,2024/5/26
17.4,28.1,-0.1,7.9,sun,2024/5/27
16.4,25.8,27.6,5,cloudy,2024/5/28
15.8,24.6,4.3,3.1,rain,2024/5/29
12.9,25.3,3,2.9,rain,2024/5/30
13.9,24.1,-0.1,7.1,sun,2024/5/31
14.8,20.9,4,4.5,sun,2024/6/1
16.1,24.8,0,2.5,sun,2024/6/2
13.6,25.6,mq,4,rain,2024/6/3
16.9,26.6,1.9,3,rain,2024/6/4
17.9,25.9,7.4,3.9,rain,2024/6/5
17.6,26.4,24.5,4.9,rain,2024/6/6
15.9,23.6,0.3,3.8,cloudy,2024/6/7
15.3,25.9,0.2,4.3,rain,2024/6/8
15.9,26.9,1.9,2.6,rain,2024/6/9
18.1,25.1,0.7,2.8,rain,2024/6/10
17.1,25.1,19.2,4,rain,2024/6/11
16.1,23.3,4.4,6.8,rain,2024/6/12
11.4,19.1,0,4.4,sun,2024/6/13
8.4,20.9,1,2.6,sun,2024/6/14
15.1,24.1,0.1,2.1,sun,2024/6/15
14.3,22.9,0,3.8,sun,2024/6/16
14.1,20.6,0,4.8,sun,2024/6/17
12.6,23.8,0,4.8,sun,2024/6/18
12.4,23.6,0,2.6,sun,2024/6/19
10.9,28.9,0.2,4.1,sun,2024/6/20
13.1,22.9,0.2,8.4,sun,2024/6/21
7.4,20.4,0,6.1,sun,2024/6/22
6.4,21.3,0,6,sun,2024/6/23
10.6,22.6,0,4.9,sun,2024/6/24
10.6,24.3,0,5.2,sun,2024/6/25
12.1,27.6,0,4.9,sun,2024/6/26
13.1,28.4,0,5.1,sun,2024/6/27
16.4,27.6,0,6.2,sun,2024/6/28
